"","Adres","Aangeboden sinds","Verkoopdatum","Looptijd","Laatste vraagprijs","Vraagprijs per m²","Status","Bijdrage VvE","Soort appartement","Soort bouw","Bouwjaar","Soort dak","Wonen","Gebouwgebonden buitenruimte","Externe bergruimte","Inhoud","Aantal kamers","Aantal badkamers","Badkamervoorzieningen","Aantal woonlagen","Gelegen op","Voorzieningen","Voorlopig energielabel","Isolatie","Verwarming","Warm water","Cv-ketel","Eigendomssituatie","Ligging","Balkon/dakterras","Schuur/berging","Soort garage","Soort parkeergelegenheid","Inschrijving KvK","Jaarlijkse vergadering","Periodieke bijdrage","Reservefonds aanwezig","Onderhoudsplan","Opstalverzekering","Soort woonhuis","Overige inpandige ruimte","Perceel","Energielabel","Oppervlakte","Tuin","Achtertuin","Ligging tuin","Capaciteit"
"669","Glacisweg 32 D","26 mei 2020","25 augustus 2020","2½ maand","€ 375.000 kosten koper
Hypotheekadvies","€ 4.360",NA,NA,"Galerijflat (appartement)","Bestaande bouw","1997",NA,NA,NA,NA,"280 m³","4 kamers (2 slaapkamers)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C 1,59 Wat betekent dit?","86 m² wonen",NA,NA,NA,NA
"670","Kasteel Aldengoorstraat 47 C","6 augustus 2020","24 september 2020","7 weken","€ 169.000 kosten koper","€ 2.253","Verkocht",NA,"Portiekflat (appartement)","Bestaande bouw","1976","Plat dak bedekt met bitumineuze dakbedekking","75 m²","4 m²",NA,"248 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","1 woonlaag","2e woonlaag","Mechanische ventilatie",NA,"HR-glas","Blokverwarming","Elektrische boiler (huur)",NA,"Volle eigendom",NA,"Balkon aanwezig",NA,"Parkeerkelder","Openbaar parkeren en parkeergarage","Ja","Ja","Ja","Ja","Ja","Ja",NA,NA,NA,"D Wat betekent dit?",NA,NA,NA,NA,NA
"671","Pastoor Habetsstraat 34 D02","9 september 2020","22 september 2020","13 dagen","€ 115.000 kosten koper","€ 5.000","Verkocht",NA,"Portiekflat (appartement)","Bestaande bouw","1997",NA,"23 m²","8 m²",NA,"70 m³","1 kamer (1 slaapkamer)","1 badkamer","Douche en toilet","1 woonlaag","3e woonlaag","TV kabel","C Wat betekent dit?","Dakisolatie, dubbel glas en muurisolatie","Blokverwarming","Centrale voorziening",NA,"Volle eigendom","Aan rustige weg en in woonwijk","Balkon aanwezig","Box",NA,"Betaald parkeren en parkeervergunningen","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA
"672","Sint Jacobstraat 11","24 september 2020","24 september 2020","0 dagen","Prijs op aanvraag
Hypotheekadvies",NA,"Eengezinswoning, tussenwoning",NA,NA,"1910","Dubbele bewoning mogelijk en kluswoning","259 m²","39 m²","116 m²",NA,"15 kamers (4 slaapkamers)","2 badkamers en 2 aparte toiletten","Ligbad, 2 douches en toilet","6 woonlagen, een zolder en een kelder","Niet beschikbaar",NA,NA,NA,NA,NA,NA,NA,"In centrum","Patio/atrium",NA,"Betaald parkeren en parkeervergunningen",NA,NA,NA,NA,NA,NA,NA,NA,"Bestaande bouw","2 m²","1.147 m³","Kadastrale kaart","Volle eigendom","Inpandig",NA,NA,NA
"673","Kasteel Beusdaelplein 6 A","29 augustus 2020","18 september 2020","2 weken","€ 165.000 kosten koper","€ 2.705","Verkocht","€ 185,59 per maand","Galerijflat (appartement)","Bestaande bouw","1976","Plat dak","61 m²","6 m²",NA,"185 m³","2 kamers (1 slaapkamer)","1 badkamer","Ligbad en toilet","1 woonlaag",NA,"Lift, mechanische ventilatie en TV kabel",NA,"Dubbel glas","Blokverwarming","Elektrische boiler (huur)",NA,"Volle eigendom","In woonwijk",NA,"Inpandig","Parkeerplaats","Openbaar parkeren","Ja","Ja","Ja (€ 185,59 per maand)","Ja","Ja","Ja",NA,NA,NA,"D Wat betekent dit?",NA,NA,NA,NA,NA
"674","Kantoorweg 4","5 februari 2019","17 juli 2020","17 maanden","€ 925.000 kosten koper","€ 2.891","Verkocht",NA,NA,"Bestaande bouw","1780",NA,"320 m²",NA,"102 m²","880 m³","9 kamers (6 slaapkamers)","3 badkamers en 3 aparte toiletten","3 ligbaden en 3 douches","3 woonlagen en een kelder",NA,"Alarminstallatie, buitenzonwering en mechanische ventilatie","F Wat betekent dit?",NA,"Cv-ketel","Cv-ketel","Gas gestookt combiketel uit 2013, eigendom","Volle eigendom","Aan rustige weg, landelijk gelegen en vrij uitzicht",NA,"Vrijstaande stenen berging","Inpandig","Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Woonboerderij, geschakelde woning","110 m²","2.130 m²",NA,"370 m²","Achtertuin, voortuin en zijtuin",NA,NA,"2 auto's"
"675","Viënnahof 27","14 augustus 2020","18 september 2020","5 weken","€ 235.000 kosten koper","€ 2.448","Verkocht",NA,NA,"Bestaande bouw","1970","Zadeldak bedekt met pannen","96 m²",NA,"10 m²","356 m³","6 kamers (3 slaapkamers)",NA,NA,"3 woonlagen",NA,"TV kabel",NA,"Gedeeltelijk dubbel glas","Cv-ketel","Cv-ketel","Nefit Proline 3 (gas gestookt uit 2013, eigendom)","Volle eigendom","Aan rustige weg en in woonwijk",NA,"Vrijstaande stenen berging",NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, halfvrijstaande woning","24 m²","212 m²","D 1,81 Wat betekent dit?","7 m² (deelperceel)","Achtertuin, voortuin en zijtuin","106 m² (11,5 meter diep en 9,25 meter breed)","Gelegen op het zuidoosten bereikbaar via achterom",NA
"676","Franciscus Romanusweg 43 B","5 juni 2020","18 september 2020","3 maanden","€ 649.000 kosten koper","€ 2.762","Verkocht",NA,NA,"Bestaande bouw","1923","Plat dak bedekt met bitumineuze dakbedekking","235 m²",NA,NA,"873 m³","9 kamers (4 slaapkamers)",NA,NA,"3 woonlagen en een kelder",NA,"Alarminstallatie, buitenzonwering, rolluiken en TV kabel",NA,"Dakisolatie en grotendeels dubbelglas","Cv-ketel","Cv-ketel","Remeha Calenta HR (gas gestookt combiketel uit 2010, eigendom)","Volle eigendom","In centrum en in woonwijk",NA,NA,NA,"Betaald parkeren en parkeervergunningen",NA,NA,NA,NA,NA,NA,"Herenhuis, tussenwoning",NA,"127 m²","Niet verplicht","127 m²","Achtertuin","33 m² (5,5 meter diep en 6 meter breed)","Gelegen op het zuidoosten",NA
"677","Opdekampstraat 56, Maasmechelen, BELGIË","4 december 2019","23 september 2020","9½ maand","€ 475.000 kosten koper","€ 1.696","Verkocht",NA,NA,"Bestaande bouw","2002",NA,"280 m²",NA,NA,"840 m³","5 kamers (4 slaapkamers)","1 badkamer en 2 aparte toiletten","Sauna, ligbad, douche en toilet","2 woonlagen, een zolder en een kelder",NA,"Airconditioning, alarminstallatie en sauna",NA,NA,NA,NA,NA,"Volle eigendom",NA,NA,NA,"Inpandig",NA,NA,NA,NA,NA,NA,NA,"Villa, vrijstaande woning",NA,"1.429 m²","Niet beschikbaar","1.429 m²","Tuin rondom",NA,NA,"2 auto's"
"678","Molenweideplein 64/1 Lanaken BELGIË","18 juni 2020","23 september 2020","3 maanden","€ 289.000 kosten koper","€ 1.624","Verkocht",NA,"Portiekflat (appartement)","Bestaande bouw","1996",NA,"178 m²",NA,NA,"534 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","1 woonlaag","1e woonlaag","Elektrische deur",NA,NA,NA,NA,NA,"Volle eigendom",NA,"Dakterras aanwezig",NA,"Garagebox",NA,"Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,"Niet beschikbaar","Deelperceel",NA,NA,NA,"1 auto"
"679","Savelsbosch 33","25 augustus 2020","12 september 2020","2 weken","€ 599.000 kosten koper","€ 3.273","Verkocht",NA,NA,"Bestaande bouw","2007","Plat dak","183 m²","26 m²",NA,"737 m³","6 kamers (4 slaapkamers)","2 badkamers en 2 aparte toiletten","Ligbad en toilet","3 woonlagen",NA,"Elektrische deur, elektra en stromend water",NA,"Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Zonneboiler","2007, eigendom","Volle eigendom","Aan bosrand, aan rustige weg en in woonwijk","Dakterras aanwezig",NA,"Inpandig","Op eigen terrein",NA,NA,NA,NA,NA,NA,"Herenhuis, geschakelde woning","23 m²","312 m²","A Wat betekent dit?","312 m²","Achtertuin en voortuin","165 m² (0,17 meter diep en 0,13 meter breed)","Gelegen op het zuiden bereikbaar via achterom","1 auto"
"680","Osebosch 6","23 juli 2020","10 augustus 2020","2 weken","€ 569.000 kosten koper","€ 2.762","Verkocht",NA,NA,"Bestaande bouw","2006","Plat dak bedekt met bitumineuze dakbedekking","206 m²","41 m²",NA,"797 m³","6 kamers (5 slaapkamers)","2 badkamers en 2 aparte toiletten","Ligbad en douche","3 woonlagen",NA,"Alarminstallatie, mechanische ventilatie en TV kabel",NA,"Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel en zonneboiler","Gas gestookt uit 2005, eigendom","Volle eigendom","Aan rustige weg, in woonwijk en landelijk gelegen",NA,NA,"Inpandig","Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Herenhuis, geschakelde woning","26 m²","278 m²","A Wat betekent dit?","278 m²","Achtertuin en voortuin",NA,NA,"1 auto"
"681","Adelbert van Scharnlaan S 1","4 september 2020","17 september 2020","13 dagen","€ 189.000 kosten koper","€ 2.589","Verkocht",NA,"Portiekflat (appartement)","Bestaande bouw","1973","Plat dak bedekt met bitumineuze dakbedekking","73 m²","4 m²","15 m²","237 m³","4 kamers (2 slaapkamers)",NA,NA,"1 woonlaag",NA,"TV kabel","E Wat betekent dit?","Dubbel glas","Blokverwarming","Elektrische boiler (huur)",NA,"Volle eigendom","In woonwijk",NA,"Inpandig",NA,"Openbaar parkeren","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA
"682","Beeltplein 14","29 april 2020","20 augustus 2020","3½ maand","€ 275.000 kosten koper","€ 3.438","Verkocht","€ 170,00 per maand","Benedenwoning (appartement)","Bestaande bouw","1979","Zadeldak bedekt met pannen","80 m²",NA,"5 m²","208 m³","3 kamers (2 slaapkamers)","1 badkamer","Ligbad, douche en toilet","2 woonlagen","Begane grond","Mechanische ventilatie","B Wat betekent dit?","Dakisolatie en gedeeltelijk dubbel glas","Cv-ketel","Cv-ketel","Gas gestookt combiketel uit 2000, eigendom","Volle eigendom","Aan rustige weg en in centrum","Balkon aanwezig","Inpandig",NA,"Betaald parkeren, parkeergarage en parkeervergunningen","Ja","Ja","Ja (€ 170,00 per maand)","Ja","Ja","Ja",NA,"5 m²",NA,NA,NA,"Voortuin",NA,"Gelegen op het noorden",NA
"683","Polvertorenstraat 10 A04","29 juli 2020","27 augustus 2020","4 weken","€ 475.500 vrij op naam","€ 4.099","Verkocht",NA,"Portiekflat (appartement)","Nieuwbouw","2019","Plat dak bedekt met kunststof en overig","116 m²","16 m²","11 m²","323 m³","3 kamers (1 slaapkamer)","1 apart toilet",NA,"1 woonlaag","1e woonlaag","Elektra",NA,"Volledig geïsoleerd","Aardwarmte en gehele vloerverwarming","Aardwarmte",NA,NA,"Aan park en in centrum","Balkon aanwezig","Box","Parkeerkelder","Betaald parkeren, openbaar parkeren en parkeergarage","Nee","Nee","Nee","Nee","Nee","Nee",NA,"6 m²",NA,"Niet beschikbaar",NA,NA,NA,NA,NA
"684","Langwaterstraat 16","17 september 2020","7 september 2020",NA,"€ 245.000 kosten koper
Hypotheekadvies","€ 2.450",NA,NA,NA,"Bestaande bouw","1948",NA,NA,NA,NA,"445 m³","7 kamers (4 slaapkamers)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning",NA,NA,"E 2,23 Wat betekent dit?","100 m² wonen / 205 m² perceel",NA,NA,NA,NA
"685","Molenweg 55","19 augustus 2019","26 augustus 2020","12 maanden","€ 849.000 kosten koper","€ 2.979","Verkocht",NA,NA,"Bestaande bouw","1999",NA,"285 m²","21 m²","9 m²","1.052 m³","9 kamers (5 slaapkamers)",NA,NA,"3 woonlagen",NA,"Alarminstallatie en TV kabel",NA,"Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel","Gas gestookt uit 2016, eigendom","Volle eigendom","Aan rustige weg, in bosrijke omgeving, landelijk gelegen, open ligging en vrij uitzicht",NA,NA,"Aangebouwde stenen garage",NA,NA,NA,NA,NA,NA,NA,"Villa, vrijstaande woning","21 m²","757 m²","B Wat betekent dit?","757 m²","Achtertuin, voortuin en zijtuin",NA,NA,"1 auto"
"686","Berkenlaan 26, 3770 Kanne - Riemst (B)","29 april 2020","18 september 2020","4½ maand","€ 825.000 kosten koper","€ 3.340","Verkocht",NA,NA,"Bestaande bouw",NA,"Zadeldak","247 m²",NA,"89 m²","975 m³","8 kamers (4 slaapkamers)","1 badkamer","Ligbad en toilet","2 woonlagen, een zolder en een kelder",NA,"Stromend water",NA,NA,"Cv-ketel en open haard","Elektrische boiler","Olie gestookt, eigendom","Volle eigendom","Aan rustige weg, beschutte ligging, in bosrijke omgeving en landelijk gelegen",NA,"Vrijstaande stenen berging","Parkeerplaats en vrijstaande stenen garage","Op eigen terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,"Landhuis, vrijstaande woning","56 m²","1.836 m²","F Wat betekent dit?","1.836 m²","Achtertuin, voortuin en zijtuin","1.089 m² (34 meter diep en 32,04 meter breed)","Gelegen op het zuiden bereikbaar via achterom","4 auto's"
"687","Stormramruwe 17","3 september 2020","15 september 2020","12 dagen","€ 291.500 kosten koper","€ 2.429","Verkocht",NA,NA,"Bestaande bouw","2016","Zadeldak bedekt met pannen","120 m²","16 m²","6 m²","435 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen",NA,"Airconditioning, dakraam, mechanische ventilatie, rolluiken, schuifpui en zonnepanelen",NA,"Dakisolatie, dubbel glas, HR-glas, muurisolatie, vloerisolatie en volledig geïsoleerd","Cv-ketel","Cv-ketel","Remeha Avanta HR+ Combi (gas gestookt combiketel uit 2016, eigendom)","Volle eigendom","In woonwijk",NA,"Vrijstaande houten berging",NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning",NA,"124 m²","A Wat betekent dit?","124 m²","Achtertuin en voortuin","52 m² (10 meter diep en 5,15 meter breed)","Gelegen op het noordoosten bereikbaar via achterom",NA
"688","Klosruwe 3","3 augustus 2020","26 augustus 2020","3 weken","€ 359.000 kosten koper","€ 2.393","Verkocht",NA,NA,"Bestaande bouw","2007","Zadeldak bedekt met pannen","150 m²",NA,NA,"615 m³","6 kamers (5 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen",NA,"Elektrische deur en elektra",NA,"Dakisolatie, dubbel glas, HR-glas, muurisolatie, vloerisolatie en volledig geïsoleerd","Cv-ketel en warmte terugwininstallatie","Cv-ketel","Nefit HR+ Combi (gas gestookt combiketel uit 2017, eigendom)","Volle eigendom",NA,NA,NA,"Aangebouwde stenen garage","Op eigen terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, geschakelde 2-onder-1-kapwoning","19 m²","192 m²","A Wat betekent dit?","192 m²","Achtertuin en voortuin","40 m² (0,01 meter diep en 0,01 meter breed)","Gelegen op het noordoosten","1 auto"
"689","Sphinxlunet 44 B","14 augustus 2020","4 september 2020","3 weken","€ 249.000 kosten koper","€ 3.320","Verkocht","€ 151,48 per maand","Galerijflat (appartement)","Bestaande bouw","1992","Plat dak","75 m²","7 m²","6 m²","225 m³","3 kamers (2 slaapkamers)","1 apart toilet",NA,"1 woonlaag","1e woonlaag","Elektra",NA,"Dubbel glas en muurisolatie","Stadsverwarming","Stadsverwarming",NA,"Volle eigendom","In woonwijk",NA,"Inpandig",NA,"Betaald parkeren en parkeervergunningen","Ja","Ja","Ja (€ 151,48 per maand)","Ja","Ja","Ja",NA,NA,NA,"B 1,36 Wat betekent dit?",NA,NA,NA,NA,NA
"690","Vlierhoven 118","10 juli 2020","12 september 2020","2 maanden","€ 475.000 kosten koper","€ 3.065","Verkocht",NA,NA,"Bestaande bouw","2010",NA,"155 m²",NA,NA,"640 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen",NA,NA,"A Wat betekent dit?","Dubbel glas en volledig geïsoleerd","Cv-ketel","Cv-ketel en elektrische boiler","Intergas ( combiketel uit 2010)","Volle eigendom",NA,NA,NA,"Inpandig",NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, halfvrijstaande woning","25 m²","244 m²",NA,"244 m²","Achtertuin",NA,NA,"1 auto"
"691","Meendaal 116 A","27 augustus 2020","10 september 2020","14 dagen","€ 95.000 kosten koper","€ 2.879","Verkocht","€ 179,50 per maand","Benedenwoning (corridorflat)","Bestaande bouw","1982",NA,"33 m²",NA,NA,"109 m³","2 kamers (1 slaapkamer)","1 badkamer","Douche en toilet","1 woonlaag","Begane grond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Openbaar parkeren","Ja","Ja","Ja (€ 179,50 per maand)","Ja","Ja","Ja",NA,NA,NA,"E 2,10 Wat betekent dit?",NA,"Zonneterras",NA,NA,NA
"692","Levignelunet 8 E","23 juli 2020","19 augustus 2020","3 weken","€ 375.000 kosten koper","€ 3.606","Verkocht",NA,"Tussenverdieping (appartement)","Bestaande bouw","2006",NA,"104 m²",NA,NA,"351 m³","3 kamers (2 slaapkamers)","1 apart toilet",NA,"1 woonlaag","4e woonlaag",NA,"A Wat betekent dit?","Dakisolatie, dubbel glas, muurisolatie en volledig geïsoleerd","Stadsverwarming",NA,NA,NA,NA,"Frans balkon aanwezig",NA,NA,"Parkeergarage","Ja","Ja","Ja","Ja","Ja","Nee",NA,"6 m²",NA,NA,NA,NA,NA,NA,NA
"693","Ambiorixweg 7","8 juli 2020","13 september 2020","2 maanden","€ 535.000 kosten koper","€ 2.861","Verkocht",NA,NA,"Bestaande bouw","1993",NA,"187 m²","19 m²","8 m²","639 m³","5 kamers (4 slaapkamers)","1 apart toilet",NA,"2 woonlagen en een zolder",NA,NA,NA,NA,NA,NA,NA,"Volle eigendom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, vrijstaande woning",NA,"638 m²","B Wat betekent dit?","254 m²",NA,NA,NA,NA
"694","Nebostraat 23","25 juli 2020","12 augustus 2020","2 weken","€ 195.000 kosten koper","€ 1.653","Verkocht",NA,NA,"Bestaande bouw","1981","Zadeldak bedekt met pannen","118 m²","12 m²","4 m²","368 m³","6 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Zitbad, douche en toilet","3 woonlagen",NA,"Elektra",NA,"Geen isolatie","Cv-ketel","Cv-ketel","Intergas (gas gestookt combiketel uit 2017, huur)","Volle eigendom","Aan rustige weg, beschutte ligging en in woonwijk",NA,"Aangebouwde stenen berging",NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, hoekwoning","5 m²","117 m²","D Wat betekent dit?","117 m²","Achtertuin en voortuin","55 m² (10,07 meter diep en 5,5 meter breed)","Gelegen op het zuiden bereikbaar via achterom",NA
"695","Savelsbosch 58","19 juni 2020","8 juli 2020","2 weken","€ 525.000 kosten koper","€ 3.070","Verkocht",NA,NA,"Bestaande bouw","2003",NA,"171 m²","7 m²","19 m²","630 m³","8 kamers (5 slaapkamers)",NA,NA,"3 woonlagen",NA,NA,NA,"Volledig geïsoleerd","Cv-ketel",NA,"Combiketel",NA,"Aan rustige weg, in woonwijk en vrij uitzicht",NA,"Inpandig","Aangebouwde stenen garage",NA,NA,NA,NA,NA,NA,NA,"Villa, hoekwoning",NA,"321 m²","A 0,95 Wat betekent dit?","321 m²","Achtertuin","86 m² (7,5 meter diep en 9 meter breed)","Gelegen op het noordwesten","1 auto"
"696","Herdenkingsplein 42","14 juli 2020","24 augustus 2020","5 weken","€ 399.000 kosten koper","€ 2.871","Verkocht",NA,NA,"Bestaande bouw","1992","Plat dak bedekt met bitumineuze dakbedekking","139 m²",NA,"6 m²","471 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Toilet","3 woonlagen",NA,"Buitenzonwering en TV kabel",NA,"Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel","Bosch (gas gestookt combiketel, eigendom)","Volle eigendom","Aan rustige weg en in centrum",NA,"Vrijstaande stenen berging",NA,"Betaald parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning",NA,"110 m²","A Wat betekent dit?","8 m²","Achtertuin","47 m² (9,55 meter diep en 4,95 meter breed)","Gelegen op het westen bereikbaar via achterom",NA
"697","Aartshertogenstraat 2","17 augustus 2020","4 september 2020","2 weken","€ 209.000 kosten koper","€ 2.402","Verkocht",NA,NA,"Bestaande bouw","1992","Plat dak bedekt met bitumineuze dakbedekking","87 m²",NA,"7 m²","300 m³","6 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet",NA,"2 woonlagen",NA,"Airconditioning, mechanische ventilatie en rolluiken",NA,"Dakisolatie, gedeeltelijk dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel","Intergas HR (gas gestookt combiketel uit 2017, huur)","Volle eigendom","Aan rustige weg en in woonwijk",NA,"Vrijstaande stenen berging",NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, hoekwoning",NA,"125 m²","C Wat betekent dit?","125 m²","Achtertuin en voortuin","58 m² (8,3 meter diep en 7 meter breed)","Gelegen op het noordoosten bereikbaar via achterom",NA
"698","Churchilllaan 50","5 september 2020","15 september 2020","10 dagen","€ 598.000 kosten koper","€ 4.153","Verkocht",NA,NA,"Bestaande bouw",NA,NA,"144 m²","63 m²",NA,"622 m³","8 kamers (4 slaapkamers)",NA,NA,"2 woonlagen, een vliering en een kelder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carport, inpandig en parkeerplaats",NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, vrijstaande woning","27 m²","426 m²","E 2,36 Wat betekent dit?","426 m²","Achtertuin, tuin rondom, voortuin en zonneterras",NA,NA,"3 auto's"
"699","Wijkmeestersdreef 39","5 augustus 2020","15 augustus 2020","10 dagen","€ 265.000 kosten koper
Hypotheekadvies","€ 2.172",NA,NA,NA,"Bestaande bouw","1965",NA,NA,NA,NA,"402 m³","7 kamers (4 slaapkamers)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, hoekwoning",NA,NA,"C Wat betekent dit?","122 m² wonen / 195 m² perceel",NA,NA,NA,NA
"700","Roserije 3 C","16 september 2020","16 september 2020","0 dagen","Prijs op aanvraag
Hypotheekadvies",NA,NA,NA,"Maisonnette (appartement)","Bestaande bouw","1980",NA,NA,NA,NA,"290 m³","3 kamers (2 slaapkamers)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D 1,68 Wat betekent dit?","80 m² wonen",NA,NA,NA,NA
"701","Besmerstraat 12","11 juni 2020","3 juli 2020","3 weken","€ 359.000 kosten koper","€ 2.659","Verkocht",NA,NA,"Bestaande bouw","1999","Plat dak bedekt met bitumineuze dakbedekking","135 m²","10 m²","19 m²","460 m³","8 kamers (5 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen",NA,"Elektra",NA,"Dakisolatie, dubbel glas en muurisolatie","Cv-ketel","Cv-ketel","Vaillant VHR EcoTec (gas gestookt combiketel uit 2018, huur)","Volle eigendom","In woonwijk",NA,NA,"Vrijstaande stenen garage","Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, geschakelde woning",NA,"267 m²","B Wat betekent dit?","267 m²","Achtertuin, voortuin en zijtuin","96 m² (12 meter diep en 8 meter breed)","Gelegen op het noorden bereikbaar via achterom","1 auto"
"702","Boschstraat 85 D","26 augustus 2020","16 september 2020","3 weken","€ 239.000 kosten koper","€ 3.983","Verkocht","€ 104,50 per maand","Bovenwoning (appartement)","Bestaande bouw","1906","Zadeldak bedekt met pannen","60 m²",NA,"2 m²","170 m³","3 kamers (1 slaapkamer)","1 badkamer en 1 apart toilet","Douche","1 woonlaag","2e woonlaag","TV kabel",NA,"Voorzetramen","Blokverwarming","Centrale voorziening",NA,"Volle eigendom","Beschutte ligging en in centrum",NA,"Inpandig",NA,"Betaald parkeren en parkeervergunningen","Ja","Nee","Ja (€ 104,50 per maand)","Nee","Nee","Ja",NA,NA,NA,"Niet verplicht",NA,NA,NA,NA,NA
"703","Lovendaalhoeve 31","6 juli 2020","21 augustus 2020","6 weken","€ 439.000 kosten koper","€ 2.761","Verkocht",NA,NA,"Bestaande bouw","1997","Plat dak","159 m²","3 m²",NA,"614 m³","6 kamers (5 slaapkamers)","1 badkamer en 2 aparte toiletten","Ligbad en douche","3 woonlagen",NA,"Rolluiken en schuifpui",NA,"Dakisolatie, dubbel glas en muurisolatie","Cv-ketel",NA,"Gas gestookt uit 2012, eigendom","Volle eigendom",NA,NA,"Aangebouwde stenen berging","Inpandig","Op eigen terrein",NA,NA,NA,NA,NA,NA,"Eengezinswoning, halfvrijstaande woning","26 m²","262 m²","B Wat betekent dit?","262 m²","Achtertuin en voortuin",NA,NA,"1 auto"
