"","Adres","Aangeboden sinds","Verkoopdatum","Looptijd","Laatste vraagprijs","Vraagprijs per m²","Status","Soort woonhuis","Soort bouw","Bouwjaar","Soort dak","Wonen","Externe bergruimte","Perceel","Inhoud","Aantal kamers","Aantal badkamers","Badkamervoorzieningen","Aantal woonlagen","Voorzieningen","Energielabel","Isolatie","Verwarming","Warm water","STRIJP G 1029","Oppervlakte","Eigendomssituatie","Ligging","Tuin","Achtertuin","Ligging tuin","Schuur/berging","Soort parkeergelegenheid","Overige inpandige ruimte","Gebouwgebonden buitenruimte","Soort garage","Capaciteit","Cv-ketel","Specifiek","Servicekosten","Balkon/dakterras","Bijdrage VvE","Soort appartement","Toegankelijkheid"
"1421","Sagittalaan 34","23 juni 2020","4 augustus 2020","6 weken","Prijs op aanvraag",NA,"Villa, vrijstaande woning","Bestaande bouw","1974","Lessenaardak bedekt met pannen","254 m²","28 m²",NA,"885 m³","9 kamers (6 slaapkamers)","2 badkamers en 1 apart toilet","Ligbad, 2 douches en 2 toiletten","3 woonlagen","Dakraam, mechanische ventilatie, rookkanaal en schuifpui","C Wat betekent dit?",NA,"Cv-ketel, gashaard en gedeeltelijke vloerverwarming","Cv-ketel en elektrische boiler","Nefit 9000i Aquapower Plus HRC 45/cw6 (gas gestookt, eigendom)",NA,"Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin, voortuin, zijtuin en zonneterras","0,22 meter diep en 0,17 meter breed","Gelegen op het oosten bereikbaar via achterom","Dakterras aanwezig","Op eigen terrein en openbaar parkeren",NA,NA,"664 m²",NA,NA,"Kadastrale kaart",NA,NA,"Vrijstaande houten berging",NA,NA,NA
"1422","Melkweg 83","19 juni 2020","10 augustus 2020","7 weken","€ 325.000 kosten koper","€ 3.611","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1928","Zadeldak bedekt met pannen","90 m²","6 m²","133 m²","328 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Toilet","3 woonlagen","Mechanische ventilatie en natuurlijke ventilatie",NA,"Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel",NA,"133 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin","47 m² (10 meter diep en 4,7 meter breed)","Gelegen op het zuiden bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren",NA,NA,NA,NA,"Nefit Proline HRC 24/CW3 (gas gestookt combiketel uit 2013, eigendom)",NA,NA,NA,NA,NA,NA
"1423","Anton Philipslaan 197","15 juli 2020","11 augustus 2020","3 weken","€ 379.500 kosten koper","€ 3.757","Verkocht",NA,"Bestaande bouw","2012","Plat dak","101 m²",NA,NA,"320 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","5 woonlagen","Elektrische deur",NA,"Geen isolatie","Stadsverwarming, gehele vloerverwarming en warmte terugwininstallatie","Centrale voorziening en stadsverwarming",NA,NA,"Volle eigendom","Aan rustige weg en in centrum",NA,NA,NA,"Inpandig","Betaald parkeren, openbaar parkeren en parkeergarage","8 m²",NA,"Inpandig","1 auto",NA,NA,"€ 260 per maand","Balkon aanwezig",NA,"Portiekflat (appartement)",NA
"1424","Frederika van Pruisenweg 66","21 augustus 2020","10 september 2020","2 weken","€ 535.000 kosten koper","€ 3.242","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","1961","Zadeldak bedekt met pannen","165 m²","20 m²","176 m²","725 m³","10 kamers (6 slaapkamers)","2 badkamers en 1 apart toilet","Sauna, ligbad, douche en toilet","3 woonlagen, een zolder en een kelder","Elektrische deur en elektra","C Wat betekent dit?","Dakisolatie, dubbel glas en muurisolatie","Cv-ketel","Cv-ketel",NA,"176 m²","Volle eigendom","Aan park, in woonwijk en vrij uitzicht","Achtertuin en zijtuin","41 m² (4,5 meter diep en 9 meter breed)","Gelegen op het noordoosten bereikbaar via achterom",NA,"Betaald parkeren en parkeervergunningen","65 m²","3 m²","Vrijstaande stenen garage","1 auto","Nefit Ecomline HR Excellent (gas gestookt combiketel uit 2002, eigendom)",NA,NA,"Balkon aanwezig",NA,NA,NA
"1425","Grasveld 90","10 juli 2020","29 juli 2020","2 weken","€ 350.000 kosten koper","€ 3.182","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","2003","Plat dak bedekt met bitumineuze dakbedekking","110 m²","7 m²","105 m²","415 m³","4 kamers (3 slaapkamers)","2 badkamers en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","Elektra","A Wat betekent dit?","Volledig geïsoleerd","Stadsverwarming","Stadsverwarming",NA,"105 m²","Volle eigendom","Aan park, aan rustige weg, beschutte ligging, in woonwijk en vrij uitzicht","Achtertuin en voortuin","43 m² (8 meter diep en 5,4 meter breed)","Gelegen op het zuiden bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren",NA,"3 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1426","Hoog Gagel 66","29 augustus 2020","15 september 2020","2 weken","€ 360.000 kosten koper","€ 2.812","Verkocht",NA,"Bestaande bouw","2005","Plat dak bedekt met bitumineuze dakbedekking","128 m²","19 m²",NA,"426 m³","6 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Toilet","3 woonlagen","Elektra","A Wat betekent dit?","Dakisolatie, dubbel glas, muurisolatie, vloerisolatie en volledig geïsoleerd","Cv-ketel","Cv-ketel",NA,NA,"Volle eigendom","Aan rustige weg, in centrum en in woonwijk","Achtertuin en patio/atrium","32 m² (6,32 meter diep en 5 meter breed)","Gelegen op het zuidwesten bereikbaar via achterom","Vrijstaande stenen berging","Parkeergarage",NA,NA,"Parkeerkelder en parkeerplaats",NA,"Nefit Smartline (gas gestookt combiketel uit 2005, eigendom)",NA,NA,NA,"€ 116,00 per maand","Beneden + bovenwoning",NA
"1427","Gestelsestraat 8 C","8 juli 2020","4 augustus 2020","3 weken","€ 350.000 kosten koper","€ 3.889","Verkocht",NA,"Bestaande bouw","2002","Plat dak bedekt met bitumineuze dakbedekking","90 m²","17 m²",NA,"278 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en douche","1 woonlaag","Elektra",NA,"Volledig geïsoleerd","Cv-ketel","Cv-ketel",NA,NA,"Volle eigendom","In centrum en in woonwijk","Achtertuin","18 m² (3 meter diep en 6 meter breed)","Gelegen op het zuidwesten bereikbaar via achterom",NA,"Betaald parkeren",NA,"17 m²","Garagebox","1 auto","2019, eigendom",NA,NA,"Balkon aanwezig","€ 134,00 per maand","Portiekflat (appartement)",NA
"1428","Perseuslaan 7","3 augustus 2020","11 augustus 2020","8 dagen","€ 375.000 kosten koper","€ 2.500","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw",NA,"Zadeldak bedekt met pannen","150 m²","19 m²","194 m²","517 m³","6 kamers (5 slaapkamers)",NA,NA,"2 woonlagen en een zolder","Elektra",NA,NA,"Cv-ketel","Cv-ketel",NA,"18 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin",NA,NA,"Vrijstaande stenen berging","Openbaar parkeren",NA,NA,"Vrijstaande stenen garage","1 auto","Vaillant HR (2019, eigendom)",NA,NA,NA,NA,NA,NA
"1429","Nederlandplein 14","3 augustus 2020","28 augustus 2020","3 weken","€ 200.000 kosten koper","€ 2.326","Verkocht",NA,"Bestaande bouw","1970","Plat dak bedekt met bitumineuze dakbedekking","86 m²","8 m²",NA,"279 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche","1 woonlaag","Elektra","D Wat betekent dit?","Gedeeltelijk dubbel glas","Blokverwarming","Elektrische boiler (huur)",NA,NA,"Volle eigendom","Aan rustige weg, in woonwijk en vrij uitzicht",NA,NA,NA,"Inpandig","Openbaar parkeren",NA,"7 m²",NA,NA,NA,NA,NA,"Balkon aanwezig","€ 155,00 per maand","Galerijflat (appartement)",NA
"1430","Venuslaan 321","9 mei 2020","2 juli 2020","7 weken","€ 240.000 kosten koper","€ 2.500","Verkocht",NA,"Bestaande bouw","1972",NA,"96 m²","7 m²",NA,"285 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche","1 woonlaag","Elektra","F Wat betekent dit?","Dubbel glas","Blokverwarming","Centrale voorziening",NA,NA,"Volle eigendom","In woonwijk",NA,NA,NA,"Inpandig","Openbaar parkeren",NA,"12 m²",NA,NA,NA,NA,NA,"Balkon aanwezig","€ 247,00 per maand","Portiekflat (appartement)",NA
"1431","Zandkasteel 84","17 juli 2020","10 augustus 2020","3 weken","€ 295.000 kosten koper","€ 3.010","Verkocht",NA,"Bestaande bouw","2004","Plat dak","98 m²","4 m²",NA,"308 m³","2 kamers (1 slaapkamer)","1 apart toilet",NA,"1 woonlaag","Glasvezelkabel, lift, schuifpui en TV kabel",NA,"Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Stadsverwarming","Cv-ketel",NA,NA,"Volle eigendom","In woonwijk",NA,NA,NA,"Box",NA,NA,"6 m²","Parkeerplaats",NA,NA,NA,"€ 175 per maand","Balkon aanwezig en frans balkon aanwezig","€ 175,00 per maand","Bovenwoning",NA
