"","Adres","Aangeboden sinds","Verkoopdatum","Looptijd","Laatste vraagprijs","Vraagprijs per m²","Status","Soort woonhuis","Soort bouw","Bouwjaar","Soort dak","Wonen","Overige inpandige ruimte","Perceel","Inhoud","Aantal kamers","Aantal badkamers","Badkamervoorzieningen","Aantal woonlagen","Voorzieningen","Energielabel","Isolatie","Verwarming","Warm water","Cv-ketel","Oppervlakte","Eigendomssituatie","Ligging","Tuin","Voortuin","Ligging tuin","Soort garage","Capaciteit","Soort parkeergelegenheid","Soort appartement","Gebouwgebonden buitenruimte","Externe bergruimte","Balkon/dakterras","Inschrijving KvK","Jaarlijkse vergadering","Periodieke bijdrage","Reservefonds aanwezig","Onderhoudsplan","Opstalverzekering","Schuur/berging","Bijdrage VvE","Gelegen op","Voorlopig energielabel","Bouwperiode","Achtertuin"
"337","Groningerplein 5","16 oktober 2020","30 oktober 2020","14 dagen","€ 250.000 kosten koper","€ 1.515","Verkocht","Eengezinswoning, vrijstaande woning","Bestaande bouw","1923","Zadeldak bedekt met pannen","165 m²",NA,"224 m²","636 m³","7 kamers (5 slaapkamers)","1 badkamer","Ligbad, douche en toilet","3 woonlagen","Alarminstallatie, mechanische ventilatie en TV kabel","G Wat betekent dit?","Gedeeltelijk dubbel glas","Gaskachels","Elektrische boiler en geiser",NA,"224 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin, voortuin en zijtuin",NA,NA,"Parkeerplaats",NA,"Parkeervergunningen",NA,"11 m²",NA,NA,NA,NA,NA,NA,NA,NA,"Inpandig",NA,NA,NA,NA,NA
"338","Pijlsteeg 12","24 oktober 2020","5 november 2020","12 dagen","€ 157.500 kosten koper","€ 2.972","Verkocht",NA,"Bestaande bouw","1980","Samengesteld dak bedekt met pannen","53 m²",NA,NA,"170 m³","2 kamers (1 slaapkamer)","1 badkamer en 1 apart toilet",NA,"3 woonlagen","Glasvezelkabel, mechanische ventilatie, natuurlijke ventilatie, TV kabel en zonnepanelen","C Wat betekent dit?","Dakisolatie, HR-glas, muurisolatie en vloerisolatie","Blokverwarming","Elektrische boiler",NA,NA,"Volle eigendom","Aan park en in centrum","Achtertuin en zonneterras",NA,"Gelegen op het zuidoosten bereikbaar via achterom",NA,NA,"Betaald parkeren en parkeervergunningen","Portiekwoning (appartement)","1 m²",NA,NA,"Ja","Ja","Ja (€ 110,00 per maand)","Ja","Ja","Ja",NA,"€ 110,00 per maand","1e woonlaag",NA,NA,"11 m² (2,5 meter diep en 4,5 meter breed)"
"339","Frouwesân 94","11 november 2020","27 november 2020","2 weken","€ 365.000 kosten koper
Hypotheekadvies","€ 1.973","Verkocht","Eengezinswoning, 2-onder-1-kapwoning","Bestaande bouw","2008","Dwarskap bedekt met pannen","185 m²",NA,"325 m²","663 m³","7 kamers (5 slaapkamers)","1 badkamer en 1 apart toilet","Toilet","3 woonlagen","Mechanische ventilatie en TV kabel","A Wat betekent dit?","Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel","Intergas (gas gestookt combiketel uit 2019, eigendom)","325 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin, voortuin en zijtuin",NA,"Gelegen op het noorden",NA,NA,"Op eigen terrein",NA,NA,"10 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande houten berging",NA,NA,NA,NA,"143 m² (15 meter diep en 9,5 meter breed)"
"340","Schalsumerstraat 5","25 november 2020","3 december 2020","8 dagen","€ 195.000 kosten koper","€ 2.143","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1930","Zadeldak bedekt met pannen","91 m²","10 m²","90 m²","371 m³","4 kamers (2 slaapkamers)","1 badkamer","Douche en toilet","3 woonlagen","Elektra",NA,"Dubbel glas en vloerisolatie","Cv-ketel","Cv-ketel","HR Combi (gas gestookt combiketel uit 2015, eigendom)","90 m²","Volle eigendom","Aan rustige weg, in centrum en in woonwijk","Achtertuin en voortuin",NA,NA,NA,NA,"Parkeervergunningen",NA,"13 m²",NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde stenen berging",NA,NA,"F Wat betekent dit?",NA,"21 m² (8,5 meter diep en 2,5 meter breed)"
"341","Tjerk Hiddesstraat 59","20 oktober 2020","2 november 2020","13 dagen","€ 200.000 kosten koper","€ 1.770","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1930","Dwarskap bedekt met bitumineuze dakbedekking en pannen","113 m²","3 m²","141 m²","439 m³","6 kamers (5 slaapkamers)","1 apart toilet",NA,"3 woonlagen","Natuurlijke ventilatie","E Wat betekent dit?","Dakisolatie en grotendeels dubbelglas","Cv-ketel","Cv-ketel","AWB (gas gestookt combiketel uit 2019, eigendom)","141 m²","Volle eigendom",NA,"Achtertuin",NA,"Gelegen op het zuidoosten bereikbaar via achterom",NA,NA,"Openbaar parkeren en parkeervergunningen",NA,"5 m²",NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde stenen berging",NA,NA,NA,NA,"30 m² (10 meter diep en 3 meter breed)"
"342","Romkeslaan 37","25 september 2020","1 december 2020","2 maanden","€ 240.000 kosten koper","€ 3.429","Verkocht",NA,"Bestaande bouw","1907",NA,"70 m²",NA,NA,"239 m³","2 kamers (1 slaapkamer)","1 badkamer en 1 apart toilet","Douche","1 woonlaag",NA,NA,"Dubbel glas","Blokverwarming","Cv-ketel",NA,NA,"Volle eigendom","Aan rustige weg en in centrum",NA,NA,NA,NA,NA,NA,"Galerijflat (appartement)",NA,"3 m²",NA,"Ja","Ja","Ja","Ja","Ja","Ja","Inpandig",NA,"1e woonlaag","G Wat betekent dit?",NA,NA
"343","Taniaburg 40","9 november 2020","3 december 2020","3 weken","€ 249.000 kosten koper","€ 1.741","Verkocht","Eengezinswoning, 2-onder-1-kapwoning","Bestaande bouw","1981","Zadeldak bedekt met pannen","143 m²","33 m²","265 m²","606 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen","Elektra","D Wat betekent dit?","Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel","Intergas ( combiketel uit 2016, eigendom)","265 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin",NA,"Gelegen op het noordwesten bereikbaar via achterom","Aangebouwde stenen garage","1 auto","Op eigen terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84 m² (14 meter diep en 6 meter breed)"
"344","Douwe Witteveenstraat 11","28 oktober 2020","17 november 2020","2 weken","€ 274.500 kosten koper","€ 1.933","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","2010","Lessenaardak bedekt met bitumineuze dakbedekking","142 m²",NA,"174 m²","502 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","Elektra","A Wat betekent dit?","Geen isolatie","Cv-ketel","Cv-ketel","Bosch (gas gestookt combiketel uit 2010, eigendom)","174 m²","Volle eigendom","Aan rustige weg, aan water en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het zuidoosten",NA,NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vrijstaande houten berging",NA,NA,NA,NA,"63 m² (12 meter diep en 5,25 meter breed)"
"345","Landbuurt 21","28 oktober 2020","20 november 2020","3 weken","€ 214.999 kosten koper","€ 2.108","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1981","Zadeldak bedekt met pannen","102 m²",NA,"104 m²","354 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","Elektra","C Wat betekent dit?","Dakisolatie, dubbel glas en muurisolatie","Cv-ketel","Cv-ketel","Nefit (gas gestookt combiketel uit 2015, eigendom)","104 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het zuidwesten bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,"1 m²","5 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande houten berging",NA,NA,NA,NA,"60 m² (12 meter diep en 5 meter breed)"
"346","Friesburg 33","30 september 2020","20 oktober 2020","2 weken","€ 239.000 kosten koper","€ 2.078","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","1982","Samengesteld dak bedekt met bitumineuze dakbedekking en pannen","115 m²","26 m²","237 m²","530 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","Elektra, verwarming en stromend water","C Wat betekent dit?","Dakisolatie, dubbel glas, HR-glas en muurisolatie","Cv-ketel","Cv-ketel en elektrische boiler","Remeha Tzerra 107/CW5 (gas gestookt combiketel uit 2016, eigendom)","237 m²","Volle eigendom","Aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zonneterras",NA,"Gelegen op het oosten bereikbaar via achterom","Aangebouwde stenen garage en carport","1 auto","Openbaar parkeren",NA,"12 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63 m² (9 meter diep en 7 meter breed)"
"347","Julianalaan 89 C","17 november 2020","3 december 2020","2 weken","€ 139.000 kosten koper","€ 1.958","Verkocht",NA,"Bestaande bouw",NA,"Zadeldak bedekt met pannen","71 m²",NA,NA,"252 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","2 woonlagen","Glasvezelkabel en natuurlijke ventilatie","E Wat betekent dit?","Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel","Itho (gas gestookt combiketel uit 2008, eigendom)",NA,"Erfpacht","Aan drukke weg, in woonwijk en vrij uitzicht",NA,NA,NA,NA,NA,"Openbaar parkeren","Portiekflat (appartement)","4 m²","8 m²","Balkon aanwezig","Nee","Ja","Ja (€ 85,00 per maand)","Ja","Ja","Ja","Inpandig","€ 85,00 per maand","3e woonlaag",NA,"1960-1970",NA
"348","Nynke van Hichtumwei 42","12 november 2020","23 november 2020","11 dagen","€ 298.500 kosten koper","€ 2.059","Verkocht","Eengezinswoning, 2-onder-1-kapwoning","Bestaande bouw","1978","Zadeldak bedekt met pannen","145 m²","23 m²","261 m²","575 m³","6 kamers (5 slaapkamers)","1 badkamer en 2 aparte toiletten","Ligbad en toilet","2 woonlagen en een zolder","Elektra","A Wat betekent dit?","Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel","Gas gestookt combiketel uit 2016, eigendom","261 m²","Volle eigendom","Aan water, in woonwijk en vrij uitzicht","Achtertuin en voortuin",NA,"Gelegen op het zuiden","Aangebouwde stenen garage","1 auto",NA,NA,"5 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"128 m² (15 meter diep en 8,5 meter breed)"
"349","Albert Cuypstraat 13","18 november 2020","1 december 2020","13 dagen","€ 159.000 kosten koper","€ 2.271","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1930",NA,"70 m²","6 m²","115 m²","293 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en douche","2 woonlagen en een zolder","Dakraam, glasvezelkabel, natuurlijke ventilatie en TV kabel",NA,"Dubbel glas","Cv-ketel","Cv-ketel","Intergas HRE (gas gestookt combiketel uit 2018, eigendom)","115 m²","Volle eigendom","In woonwijk","Achtertuin",NA,"Gelegen op het westen bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,NA,"5 m²",NA,NA,NA,NA,NA,NA,NA,"Aangebouwde stenen berging",NA,NA,"F Wat betekent dit?",NA,"39 m² (13 meter diep en 3 meter breed)"
"350","Gysbert Japicxstraat 104","17 oktober 2020","5 november 2020","2 weken","€ 179.500 kosten koper","€ 1.693","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1912",NA,"106 m²","2 m²","96 m²","380 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","2 woonlagen",NA,NA,"Gedeeltelijk dubbel glas en vloerisolatie","Cv-ketel",NA,"Gas gestookt combiketel uit 2019, huur","96 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin",NA,"Gelegen op het zuiden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde houten berging",NA,NA,"F Wat betekent dit?",NA,"14 m² (3,5 meter diep en 4 meter breed)"
"351","Aggemastate 55","18 september 2020","5 oktober 2020","2 weken","€ 199.500 kosten koper
Hypotheekadvies","€ 1.662","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1982",NA,"120 m²","6 m²","157 m²","440 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","2 woonlagen en een zolder",NA,NA,"Dakisolatie, dubbel glas en muurisolatie","Stadsverwarming",NA,NA,"157 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin",NA,"Gelegen op het westen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde stenen berging",NA,NA,"C Wat betekent dit?",NA,"66 m² (12 meter diep en 5,5 meter breed)"
"352","Dr. Bearda Bakkerstraat 42","7 oktober 2020","27 oktober 2020","2 weken","€ 265.000 kosten koper","€ 1.992","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","2008","Plat dak bedekt met bitumineuze dakbedekking","133 m²",NA,"188 m²","460 m³","6 kamers (5 slaapkamers)","1 badkamer","Ligbad, douche en toilet","3 woonlagen","Elektra","A Wat betekent dit?","Volledig geïsoleerd","Cv-ketel en houtkachel","Cv-ketel","Vaillant (gas gestookt combiketel uit 2008, eigendom)","188 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin",NA,"Gelegen op het zuiden",NA,NA,"Op eigen terrein",NA,NA,"6 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande houten berging",NA,NA,NA,NA,"80 m² (15 meter diep en 5,3 meter breed)"
"353","Keizerskroon 229","1 november 2020","4 november 2020","3 dagen","€ 199.500 kosten koper","€ 1.467","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1974",NA,"136 m²","9 m²","177 m²","509 m³","4 kamers (3 slaapkamers)",NA,NA,"3 woonlagen","Elektra","C Wat betekent dit?","HR-glas en vloerisolatie","Cv-ketel","Cv-ketel","HR Combi (gas gestookt combiketel uit 2015, eigendom)","177 m²","Volle eigendom","Aan rustige weg, aan water, beschutte ligging en in woonwijk","Achtertuin",NA,"Gelegen op het zuidoosten",NA,NA,"Op eigen terrein",NA,"2 m²","9 m²",NA,NA,NA,NA,NA,NA,NA,"Aangebouwde stenen berging",NA,NA,NA,NA,"70 m² (10 meter diep en 7 meter breed)"
"354","de Ruyterweg 41","30 oktober 2020","12 november 2020","13 dagen","€ 189.500 kosten koper","€ 2.153","Verkocht","Eengezinswoning, 2-onder-1-kapwoning","Bestaande bouw","1963","Zadeldak bedekt met pannen","88 m²","16 m²","284 m²","376 m³","6 kamers (5 slaapkamers)","1 badkamer en 2 aparte toiletten","Toilet","2 woonlagen en een zolder","Elektra","F Wat betekent dit?","Geen isolatie","Cv-ketel","Cv-ketel","Remeha Avanti (gas gestookt combiketel uit 2015, huur)","38 m²","Volle eigendom","In centrum","Achtertuin en voortuin",NA,"Gelegen op het zuidwesten bereikbaar via achterom","Garagebox","1 auto","Openbaar parkeren",NA,"4 m²","22 m²","Balkon aanwezig",NA,NA,NA,NA,NA,NA,"Vrijstaande stenen berging",NA,NA,NA,NA,"120 m² (15 meter diep en 8 meter breed)"
"355","Westerparkstraat 1 a","7 oktober 2020","1 december 2020","7 weken","€ 275.000 kosten koper","€ 2.835","Verkocht","Eengezinswoning, eindwoning","Bestaande bouw","1930","Zadeldak bedekt met pannen","97 m²",NA,"274 m²","399 m³","7 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche","2 woonlagen en een zolder","Elektra",NA,"Dubbel glas","Cv-ketel","Cv-ketel","2014, huur","96 m²","Volle eigendom","Vrij uitzicht","Achtertuin en voortuin",NA,NA,"Vrijstaande stenen garage","1 auto","Op eigen terrein",NA,"1 m²","26 m²",NA,NA,NA,NA,NA,NA,NA,"Aangebouwde stenen berging",NA,NA,"G Wat betekent dit?",NA,NA
"356","Skrok 47","17 oktober 2020","9 november 2020","3 weken","€ 272.500 kosten koper
Hypotheekadvies","€ 2.034","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","2006","Plat dak bedekt met bitumineuze dakbedekking","134 m²","18 m²","341 m²","533 m³","5 kamers (3 slaapkamers)","1 badkamer en 3 aparte toiletten","Douche","3 woonlagen","Mechanische ventilatie","A Wat betekent dit?","Volledig geïsoleerd",NA,"Cv-ketel",NA,"136 m² (deelperceel)","Mandelig","Beschutte ligging en in woonwijk","Achtertuin",NA,NA,"Inpandig","1 auto",NA,NA,NA,"7 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"357","Kempenaersreed 2","21 oktober 2020","16 november 2020","3 weken","€ 575.000 kosten koper
Hypotheekadvies","€ 2.819","Verkocht","Woonboerderij, vrijstaande woning","Bestaande bouw","Voor 1906","Zadeldak","204 m²","505 m²","3.505 m²","3.950 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche","2 woonlagen","Natuurlijke ventilatie en rookkanaal","F Wat betekent dit?","Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel","Remeha (gas gestookt combiketel uit 2014, eigendom)","3.505 m²","Volle eigendom","Aan rustige weg, buiten bebouwde kom, open ligging en vrij uitzicht","Tuin rondom",NA,NA,"Inpandig","15 auto's","Op eigen terrein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Inpandig",NA,NA,NA,NA,NA
"358","Ypk fan der Fearwei 71","29 oktober 2020","2 december 2020","4 weken","€ 210.000 kosten koper","€ 1.750","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1988","Zadeldak bedekt met pannen","120 m²","6 m²","159 m²","430 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen",NA,"C Wat betekent dit?","Grotendeels dubbelglas","Cv-ketel","Cv-ketel","Nefit Proline (gas gestookt uit 2015, eigendom)","159 m²","Volle eigendom",NA,"Achtertuin en voortuin",NA,"Gelegen op het noordoosten bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde stenen berging",NA,NA,NA,NA,"66 m² (12 meter diep en 5,5 meter breed)"
"359","Paulus Potterstraat 8","26 oktober 2020","14 november 2020","2 weken","€ 145.000 kosten koper","€ 1.812","Verkocht","Eengezinswoning, eindwoning","Bestaande bouw","1935","Zadeldak bedekt met pannen","80 m²","8 m²","130 m²","301 m³","4 kamers (3 slaapkamers)","1 badkamer","Ligbad en toilet","3 woonlagen en een kelder","Dakraam, glasvezelkabel, natuurlijke ventilatie en TV kabel","F Wat betekent dit?","Gedeeltelijk dubbel glas en muurisolatie","Cv-ketel","Cv-ketel","ATAG (gas gestookt combiketel uit 2019, eigendom)","130 m²","Volle eigendom","Aan rustige weg, beschutte ligging en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het westen",NA,NA,"Openbaar parkeren",NA,"2 m²","5 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande houten berging",NA,NA,NA,NA,"60 m² (10 meter diep en 6 meter breed)"
"360","Kamgras 155","17 oktober 2020","6 november 2020","2 weken","€ 179.500 kosten koper
Hypotheekadvies","€ 1.632","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1975","Zadeldak bedekt met pannen","110 m²",NA,"130 m²","390 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","2 woonlagen en een zolder","Elektra en verwarming","C Wat betekent dit?","Dubbel glas, HR-glas en muurisolatie","Cv-ketel","Cv-ketel","Nefit HR (CW5) (gas gestookt combiketel uit 2015, eigendom)","130 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin",NA,"Gelegen op het zuiden",NA,NA,NA,NA,NA,"7 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande stenen berging",NA,NA,NA,NA,"46 m² (9,5 meter diep en 4,8 meter breed)"
"361","Hofstraat 22","9 oktober 2020","29 oktober 2020","2 weken","€ 159.000 kosten koper","€ 1.871","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw",NA,"Zadeldak bedekt met pannen","85 m²","20 m²","135 m²","414 m³","5 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","3 woonlagen","Elektra",NA,"Geen isolatie","Cv-ketel","Cv-ketel","Intergas (gas gestookt combiketel uit 2012, eigendom)","90 m²","Volle eigendom","Aan rustige weg, beschutte ligging en in woonwijk","Achtertuin en voortuin","25 m² (5 meter diep en 5 meter breed)","Gelegen op het zuiden","Aangebouwde stenen garage","1 auto","Openbaar parkeren en parkeervergunningen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde stenen berging",NA,NA,"F Wat betekent dit?","1931-1944",NA
"362","Koudenburg 26","15 oktober 2020","25 november 2020","5 weken","€ 175.000 kosten koper","€ 1.862","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","1981","Zadeldak bedekt met pannen","94 m²","2 m²","165 m²","250 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","2 woonlagen",NA,"C Wat betekent dit?",NA,"Cv-ketel","Cv-ketel","Nefit Proline Next ( combiketel uit 2018)","165 m²","Volle eigendom",NA,"Achtertuin en voortuin",NA,"Gelegen op het zuidwesten",NA,NA,NA,NA,"6 m²",NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde stenen berging",NA,NA,NA,NA,"48 m² (8 meter diep en 6 meter breed)"
"363","Zeesterstraat 23","13 november 2020","30 november 2020","2 weken","€ 175.000 kosten koper","€ 1.862","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1962","Plat dak bedekt met bitumineuze dakbedekking","94 m²",NA,"137 m²","318 m³","5 kamers (4 slaapkamers)","1 badkamer","Douche","2 woonlagen","Elektra","E Wat betekent dit?","Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel","Intergas HR (gas gestookt combiketel uit 2011, eigendom)","137 m²","Volle eigendom","Beschutte ligging, in woonwijk en vrij uitzicht","Achtertuin en voortuin",NA,"Gelegen op het zuidwesten bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,NA,"8 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande stenen berging",NA,NA,NA,NA,"50 m² (9 meter diep en 5,5 meter breed)"
"364","Slotmakersstraat 11","29 oktober 2020","30 november 2020","4 weken","€ 395.000 kosten koper","€ 3.657","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","1652","Plat dak bedekt met bitumineuze dakbedekking en pannen","108 m²","18 m²","169 m²","465 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","2 woonlagen en een zolder","Alarminstallatie, glasvezelkabel, natuurlijke ventilatie en TV kabel","Niet verplicht","Dakisolatie","Cv-ketel","Cv-ketel","Gas gestookt combiketel uit 2015, eigendom","169 m²","Volle eigendom","Aan rustige weg en in centrum","Achtertuin",NA,"Gelegen op het westen bereikbaar via achterom","Carport en vrijstaande stenen garage","2 auto's","Op eigen terrein",NA,"5 m²","28 m²","Balkon aanwezig",NA,NA,NA,NA,NA,NA,"Vrijstaande stenen berging",NA,NA,NA,NA,"84 m² (7 meter diep en 12 meter breed)"
"365","Kwelderstraat 46","25 september 2020","13 november 2020","7 weken","€ 195.000 kosten koper","€ 2.097","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1962","Plat dak bedekt met bitumineuze dakbedekking","93 m²",NA,"157 m²","317 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","2 woonlagen","Elektra","D Wat betekent dit?","Dubbel glas, HR-glas en vloerisolatie","Cv-ketel","Cv-ketel","Remeha (gas gestookt combiketel uit 2020, eigendom)","19 m²","Gemeentelijk eigendom belast met erfpacht","Beschutte ligging en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het zuiden bereikbaar via achterom","Garagebox","1 auto","Openbaar parkeren",NA,"1 m²","24 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande stenen berging",NA,NA,NA,NA,"47 m² (9 meter diep en 5,25 meter breed)"
